company_id,event_month,alert_month,lead_months,health_at_event,health_6m_before
COMP_0027,2026-01,,,93.24120838475335,
COMP_0031,2026-01,,,93.82954781071024,
COMP_0032,2025-08,2025-07,1.0,50.682656545102304,83.73700560461843
COMP_0033,2026-07,2026-07,0.0,75.400051939387,88.74500953928468
COMP_0038,2026-01,,,83.16908168469523,
COMP_0041,2026-06,2026-06,0.0,83.15081459914478,80.91640251429702
COMP_0048,2026-03,,,90.3146466508942,
COMP_0050,2025-10,2025-10,0.0,58.39406553528272,
COMP_0057,2026-03,,,97.3049094247607,
COMP_0060,2026-05,2025-11,6.0,71.32744349777842,83.08793497644515
COMP_0062,2026-05,,,88.48156256705326,95.74202441223242
COMP_0067,2025-10,2025-06,4.0,81.65763822857922,78.27464431078714
COMP_0074,2026-06,,,94.7068729620471,95.38617985548385
COMP_0077,2026-03,,,95.52309417672699,95.3148576161215
COMP_0078,2025-11,,,,
COMP_0080,2026-06,2026-06,0.0,77.60657996305534,88.83977462795193
COMP_0086,2025-10,2025-10,0.0,73.98507580657342,
COMP_0093,2026-06,2025-12,6.0,76.1196678392229,66.76827466342755
COMP_0101,2025-07,,,95.9588551886242,97.73644821136295
COMP_0104,2025-11,,,,
COMP_0113,2025-11,2025-06,5.0,66.1140947363302,67.44540982645593
COMP_0120,2026-02,,,82.43717242754249,
COMP_0123,2026-06,,,93.48587371696674,95.38820793861024
COMP_0127,2026-01,2025-06,7.0,82.4392372657407,70.09335352050903
COMP_0133,2025-08,,,81.15272623771456,87.61538161690333
COMP_0145,2026-02,,,80.21001710891179,
COMP_0148,2026-04,2025-12,4.0,71.80304064593494,76.7258715755937
COMP_0152,2026-01,2025-06,7.0,87.46354530115045,51.28246772782239
COMP_0166,2026-06,2026-05,1.0,70.16917019270842,76.23418706586445
COMP_0168,2026-05,,,96.40910138829489,88.71947546767103
COMP_0170,2026-05,2026-05,0.0,63.77233184555074,80.57640121332312
COMP_0184,2025-10,,,,
COMP_0190,2026-01,2026-01,0.0,84.45826668219978,
COMP_0193,2026-01,,,95.52642753331972,
COMP_0202,2026-07,2025-11,8.0,67.4974204415618,67.033824924987
COMP_0209,2025-08,,,,
COMP_0214,2026-07,2026-06,1.0,74.5875416735729,91.806465243361
COMP_0220,2025-10,,,96.05012958685016,93.10213113913522
COMP_0223,2026-01,2025-11,2.0,65.05449081883842,78.62712021649338
COMP_0225,2026-01,,,88.23215528540064,93.92140517181653
COMP_0247,2026-05,2025-06,11.0,70.089859236577,62.46353940454349
COMP_0248,2025-08,,,97.25873130051457,98.41584438654775
COMP_0255,2025-11,,,,
COMP_0259,2026-01,2026-01,0.0,82.37016543018767,95.62259800169136
COMP_0267,2026-06,,,86.93544786900806,95.0283265407453
COMP_0270,2025-11,,,,
COMP_0275,2026-01,2026-01,0.0,63.273870335359376,
COMP_0278,2026-06,,,94.42136243031123,90.86280002396
COMP_0279,2026-07,2025-07,12.0,45.39579901298258,55.702588539542276
COMP_0286,2026-05,,,84.62330688559783,
COMP_0288,2026-03,,,83.7908117903738,89.69401743612747
COMP_0291,2026-02,,,83.51042010899559,
COMP_0307,2025-10,2025-10,0.0,82.72074283072814,97.78942154415242
COMP_0313,2025-11,,,95.73571728200795,98.2766180894097
COMP_0316,2026-05,,,94.88170889434127,95.46384200320406
COMP_0320,2025-11,,,,
COMP_0325,2026-05,2025-10,7.0,61.755631475080506,65.35384041554676
COMP_0327,2026-07,2026-07,0.0,67.56961119576954,89.63466473960062
COMP_0328,2026-07,,,94.31852907133448,95.13750957413723
COMP_0336,2026-05,2025-08,9.0,92.12135507996373,86.66531554816277
COMP_0337,2026-02,2025-06,8.0,29.785673738018442,31.350619689923242
COMP_0342,2026-01,2025-06,7.0,47.5844350231924,43.729496950988576
COMP_0346,2025-11,,,91.11995714833299,97.43237971402111
COMP_0352,2026-04,,,91.97421995518889,
COMP_0353,2026-04,2025-12,4.0,76.65576984623759,
COMP_0354,2025-10,2025-06,4.0,48.78469220493938,28.38675069022609
COMP_0372,2025-09,,,,
COMP_0376,2025-09,,,92.2545859523948,
COMP_0379,2026-06,2026-05,1.0,76.0145365217704,95.18549629458353
COMP_0380,2025-12,2025-12,0.0,81.99092074171519,92.09828208422309
